Event Date,Peak Power (MW)
28-Jul-15,4
29-Jul-15,4
30-Jul-15,4
31-Jul-15,4
1-Aug-15,4
2-Aug-15,4
3-Aug-15,4
4-Aug-15,4
5-Aug-15,4
6-Aug-15,4
7-Aug-15,4
8-Aug-15,4
9-Aug-15,4
10-Aug-15,4
11-Aug-15,4
12-Aug-15,4
13-Aug-15,4
14-Aug-15,4
15-Aug-15,4
16-Aug-15,4
17-Aug-15,4
18-Aug-15,4
19-Aug-15,4
20-Aug-15,3
21-Aug-15,4
22-Aug-15,4
23-Aug-15,4
24-Aug-15,4
25-Aug-15,4
26-Aug-15,4
27-Aug-15,4
28-Aug-15,4
29-Aug-15,4
30-Aug-15,4
31-Aug-15,4
1-Sep-15,4
2-Sep-15,4
3-Sep-15,4
4-Sep-15,4
5-Sep-15,4
6-Sep-15,4
7-Sep-15,4
8-Sep-15,4
9-Sep-15,4
10-Sep-15,4
11-Sep-15,4
12-Sep-15,4
13-Sep-15,4
14-Sep-15,4
15-Sep-15,4
16-Sep-15,4
17-Sep-15,4
18-Sep-15,4
19-Sep-15,4
20-Sep-15,4
21-Sep-15,4
22-Sep-15,4
23-Sep-15,4
24-Sep-15,4
25-Sep-15,4
26-Sep-15,4
27-Sep-15,4
28-Sep-15,4
29-Sep-15,4
30-Sep-15,4
1-Oct-15,4
2-Oct-15,4
3-Oct-15,3
4-Oct-15,3
5-Oct-15,3
6-Oct-15,3
7-Oct-15,3
8-Oct-15,4
9-Oct-15,4
10-Oct-15,4
11-Oct-15,4
12-Oct-15,4
13-Oct-15,4
14-Oct-15,4
15-Oct-15,4
16-Oct-15,4
17-Oct-15,4
18-Oct-15,4
19-Oct-15,4
20-Oct-15,4
21-Oct-15,4
22-Oct-15,4
23-Oct-15,4
24-Oct-15,4
25-Oct-15,4
26-Oct-15,4
27-Oct-15,4
28-Oct-15,4
29-Oct-15,4
30-Oct-15,4
31-Oct-15,4
1-Nov-15,4
2-Nov-15,4
3-Nov-15,4
4-Nov-15,4
5-Nov-15,4
6-Nov-15,4
7-Nov-15,4
8-Nov-15,4
9-Nov-15,4
10-Nov-15,4
11-Nov-15,4
12-Nov-15,4
13-Nov-15,4
14-Nov-15,4
15-Nov-15,4
16-Nov-15,4
17-Nov-15,4
18-Nov-15,4
19-Nov-15,4
20-Nov-15,4
21-Nov-15,4
22-Nov-15,4
23-Nov-15,4
24-Nov-15,4
25-Nov-15,4
26-Nov-15,4
27-Nov-15,4
28-Nov-15,4
29-Nov-15,4
30-Nov-15,4
1-Dec-15,4
2-Dec-15,4
3-Dec-15,4
4-Dec-15,4
5-Dec-15,4
6-Dec-15,4
7-Dec-15,4
8-Dec-15,4
9-Dec-15,4
10-Dec-15,4
11-Dec-15,4
12-Dec-15,4
13-Dec-15,4
14-Dec-15,4
15-Dec-15,4
16-Dec-15,3
17-Dec-15,3
18-Dec-15,3
19-Dec-15,4
20-Dec-15,4
21-Dec-15,4
22-Dec-15,4
23-Dec-15,4
24-Dec-15,4
25-Dec-15,4
26-Dec-15,4
27-Dec-15,4
28-Dec-15,4
29-Dec-15,4
30-Dec-15,4
31-Dec-15,4
1-Jan-16,4
2-Jan-16,4
3-Jan-16,4
4-Jan-16,4
5-Jan-16,4
6-Jan-16,4
7-Jan-16,4
8-Jan-16,4
9-Jan-16,4
10-Jan-16,4
11-Jan-16,4
12-Jan-16,4
13-Jan-16,4
14-Jan-16,4
15-Jan-16,4
16-Jan-16,4
17-Jan-16,4
18-Jan-16,4
19-Jan-16,4
20-Jan-16,4
21-Jan-16,4
22-Jan-16,4
23-Jan-16,4
24-Jan-16,4
25-Jan-16,4
26-Jan-16,4
27-Jan-16,4
28-Jan-16,4
29-Jan-16,4
30-Jan-16,4
31-Jan-16,4
1-Feb-16,4
2-Feb-16,5
3-Feb-16,4
4-Feb-16,4
5-Feb-16,4
6-Feb-16,4
7-Feb-16,4
8-Feb-16,4
