Event_Date,Total Energy (GWH)
4-Feb-19,97.57
3-Feb-19,100.73
2-Feb-19,100.1
1-Feb-19,102.38
31-Jan-19,201.34
30-Jan-19,89.49
29-Jan-19,93.31
28-Jan-19,96.96
27-Jan-19,101.78
26-Jan-19,97.4
25-Jan-19,79.96
24-Jan-19,96.09
23-Jan-19,99.27
22-Jan-19,94.09
21-Jan-19,94.29
20-Jan-19,90.2
19-Jan-19,77.57
18-Jan-19,74.65
17-Jan-19,98.98
16-Jan-19,97.86
15-Jan-19,98.45
14-Jan-19,102.22
13-Jan-19,98.28
12-Jan-19,99.06
11-Jan-19,103.26
10-Jan-19,100.43
9-Jan-19,97.44
8-Jan-19,99.12
7-Jan-19,97.54
6-Jan-19,95.38
5-Jan-19,95.48
4-Jan-19,95.64
3-Jan-19,79.27
2-Jan-19,96.82
1-Jan-19,99.12
31-Dec-18,98.59
30-Dec-18,98.48
29-Dec-18,84.24
28-Dec-18,101.71
27-Dec-18,100.49
26-Dec-18,100.53
25-Dec-18,102.6
24-Dec-18,100.36
23-Dec-18,100.2
22-Dec-18,98.58
21-Dec-18,77.5
20-Dec-18,102.26
19-Dec-18,101.24
18-Dec-18,99.72
17-Dec-18,99.16
16-Dec-18,97.19
15-Dec-18,97.42
14-Dec-18,99.06
13-Dec-18,98.5
12-Dec-18,98.51
11-Dec-18,103.28
10-Dec-18,100.6
9-Dec-18,96.35
8-Dec-18,101.34
7-Dec-18,100.58
6-Dec-18,98.79
5-Dec-18,97.98
4-Dec-18,96.07
3-Dec-18,97.62
2-Dec-18,96.43
1-Dec-18,99.53
30-Nov-18,100.11
29-Nov-18,93.85
28-Nov-18,95.81
27-Nov-18,97.67
26-Nov-18,99.13
25-Nov-18,93.44
24-Nov-18,96.67
23-Nov-18,99.48
22-Nov-18,101.09
21-Nov-18,101.96
20-Nov-18,100.82
19-Nov-18,99.32
18-Nov-18,93.69
17-Nov-18,99.76
16-Nov-18,101.9
15-Nov-18,100.88
14-Nov-18,98.52
13-Nov-18,94.27
12-Nov-18,96.15
11-Nov-18,96.45
10-Nov-18,97.66
9-Nov-18,97.41
8-Nov-18,96.33
7-Nov-18,97.51
6-Nov-18,95.23
5-Nov-18,91.2
4-Nov-18,90.42
3-Nov-18,93.32
2-Nov-18,95.05
1-Nov-18,94.03
31-Oct-18,94.41
30-Oct-18,89.24
29-Oct-18,71.5
28-Oct-18,83.16
27-Oct-18,88.85
26-Oct-18,97.32
25-Oct-18,93.6
24-Oct-18,92.73
23-Oct-18,96.35
22-Oct-18,92.5
21-Oct-18,94.25
20-Oct-18,93.15
19-Oct-18,98.75
18-Oct-18,97.38
17-Oct-18,92.41
16-Oct-18,91.84
15-Oct-18,91.26
14-Oct-18,90.83
13-Oct-18,90.81
12-Oct-18,94.28
11-Oct-18,89.5
10-Oct-18,81.37
9-Oct-18,88.87
8-Oct-18,85.46
7-Oct-18,86.83
6-Oct-18,90.69
5-Oct-18,90.75
4-Oct-18,92.84
3-Oct-18,90.3
2-Oct-18,88.8
1-Oct-18,79.43
30-Sep-18,89.04
29-Sep-18,88.03
28-Sep-18,85.98
27-Sep-18,89.29
26-Sep-18,89.57
25-Sep-18,84.19
24-Sep-18,84.12
23-Sep-18,79.87
22-Sep-18,83.57
21-Sep-18,89.03
20-Sep-18,74.31
19-Sep-18,93.68
18-Sep-18,84.14
17-Sep-18,86.95
16-Sep-18,83.32
15-Sep-18,89.36
14-Sep-18,89.75
13-Sep-18,85.75
12-Sep-18,88.44
11-Sep-18,82.52
10-Sep-18,79.21
9-Sep-18,80.03
8-Sep-18,83.45
7-Sep-18,81.77
6-Sep-18,80.99
5-Sep-18,85.39
4-Sep-18,69.92
3-Sep-18,86.69
2-Sep-18,81.49
1-Sep-18,80.52
31-Aug-18,89.59
30-Aug-18,90.37
29-Aug-18,92.25
28-Aug-18,91.65
27-Aug-18,87.41
26-Aug-18,83.75
25-Aug-18,80.68
24-Aug-18,83.62
23-Aug-18,88.09
22-Aug-18,87.69
21-Aug-18,85.71
20-Aug-18,83.36
19-Aug-18,86.52
18-Aug-18,89.35
17-Aug-18,90.83
16-Aug-18,96.68
15-Aug-18,92.95
14-Aug-18,87.36
13-Aug-18,79.29
12-Aug-18,81.6
11-Aug-18,84.93
10-Aug-18,85.07
9-Aug-18,85.25
8-Aug-18,89.59
7-Aug-18,89.91
6-Aug-18,90.08
5-Aug-18,88.78
4-Aug-18,88.37
3-Aug-18,86.69
2-Aug-18,91.42
1-Aug-18,94.11
31-Jul-18,93.5
30-Jul-18,88.99
29-Jul-18,83.11
28-Jul-18,86.49
27-Jul-18,89.32
26-Jul-18,88.44
25-Jul-18,89.1
24-Jul-18,91.79
23-Jul-18,81.68
22-Jul-18,85.44
21-Jul-18,81.58
20-Jul-18,83.52
19-Jul-18,92.67
18-Jul-18,92.11
17-Jul-18,86.4
16-Jul-18,84.48
15-Jul-18,90.21
14-Jul-18,87.81
13-Jul-18,91.26
12-Jul-18,93.31
11-Jul-18,94.43
10-Jul-18,91.74
9-Jul-18,90.75
8-Jul-18,59.27
7-Jul-18,82.23
6-Jul-18,90.1
5-Jul-18,86.33
4-Jul-18,92.58
3-Jul-18,87.17
